frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,20,293.386,31832,0.020145038,0.023500000,3.354962,1,293.386251,5.000000,13
2,20,288.295193,31832,0.028178239,0.031000000,2.821761,1,288.295193,5.000000,13
3,20,290.064422,31832,0.039636877,0.042500000,2.863123,1,290.064422,5.000000,13
4,20,286.688666,31832,0.048574894,0.059000000,10.425106,0,1050.257266,5.000000,13
5,20,293.180666,31832,0.057944290,0.060500000,2.555710,1,293.180666,5.000000,13
6,20,279.016618,31832,0.065142801,0.074000000,8.857199,0,1050.257266,5.000000,13
7,20,276.578144,31832,0.074176672,0.077000000,2.823328,1,276.578144,5.000000,13
8,20,271.330793,31832,0.082255006,0.087000000,4.744994,1,271.330793,5.000000,13
9,20,272.966377,31832,0.092578544,0.095500000,2.921456,1,272.966377,5.000000,13
10,20,267.007254,31832,0.099972894,0.108500000,8.527106,0,1050.257266,5.000000,13
11,20,268.307462,31832,0.108991847,0.114000000,5.008153,0,1050.257266,5.000000,13
12,20,271.229787,31832,0.118931145,0.122000000,3.068855,1,271.229787,5.000000,13
13,20,277.030291,31832,0.127212012,0.135500000,8.287988,0,1050.257266,5.000000,13
14,20,268.988959,31832,0.135751352,0.139000000,3.248648,1,268.988959,5.000000,13
15,20,274.683081,31832,0.143934209,0.148000000,4.065791,1,274.683081,5.000000,13
16,20,273.166632,31832,0.152981393,0.155500000,2.518607,1,273.166632,5.000000,13
17,20,281.390824,31832,0.160832196,0.163500000,2.667804,1,281.390824,5.000000,13
18,20,283.416823,31832,0.167949186,0.170500000,2.550814,1,283.416823,5.000000,13
19,20,292.784071,31832,0.177527605,0.181500000,3.972395,1,292.784071,5.000000,13
20,20,292.581045,31832,0.185129940,0.190500000,5.370060,0,1050.257266,5.000000,13
21,20,297.695533,31832,0.194106885,0.197500000,3.393115,1,297.695533,5.000000,13
23,20,297.583224,31832,0.213257008,0.261500000,48.242992,0,1050.257266,5.000000,12
24,20,295.644313,31832,0.221868302,0.261500000,39.631698,0,1050.257266,5.000000,12
25,20,302.334938,31832,0.232224756,0.261500000,29.275244,0,1050.257266,5.000000,12
26,20,294.375781,31832,0.241742516,0.261500000,19.757484,0,1050.257266,5.000000,12
27,20,297.191994,31832,0.249560349,0.261500000,11.939651,0,1050.257266,5.000000,12
28,20,296.281684,31832,0.258826878,0.261500000,2.673122,1,296.281684,5.000000,12
29,20,309.181625,31832,0.268540312,0.274000000,5.459688,0,1050.257266,5.000000,12
30,20,307.452950,31832,0.279579154,0.286500000,6.920846,0,1050.257266,5.000000,12
31,20,309.722609,31832,0.290870025,0.296000000,5.129975,0,1050.257266,5.000000,12
32,20,311.525665,31832,0.299434551,0.307500000,8.065449,0,1050.257266,5.000000,12
34,20,300.384503,31832,0.317704667,0.372500000,54.795333,0,1050.257266,5.000000,12
35,20,306.990111,31832,0.325755776,0.372500000,46.744224,0,1050.257266,5.000000,12
36,20,301.726094,31832,0.333767490,0.372500000,38.732510,0,1050.257266,5.000000,12
37,20,310.818653,31832,0.340979096,0.372500000,31.520904,0,1050.257266,5.000000,12
38,20,306.800307,31832,0.348555821,0.372500000,23.944179,0,1050.257266,5.000000,12
39,20,308.811866,31832,0.358378180,0.372500000,14.121820,0,1050.257266,5.000000,12
40,20,297.522992,31832,0.369411172,0.373500000,4.088828,1,297.522992,5.000000,12
41,20,301.651868,31832,0.380763230,0.386000000,5.236770,0,1050.257266,5.000000,12
42,20,296.875500,31832,0.389978820,0.394000000,4.021180,1,296.875500,5.000000,12
43,20,295.299216,31832,0.398853786,0.404500000,5.646214,0,1050.257266,5.000000,12
44,20,300.063726,31832,0.407072344,0.414000000,6.927656,0,1050.257266,5.000000,10
45,20,296.141609,31832,0.415957907,0.421000000,5.042093,0,1050.257266,5.000000,10
46,20,283.728508,31832,0.425602244,0.431500000,5.897756,0,1050.257266,5.000000,10
47,20,290.250054,31832,0.434140212,0.440000000,5.859788,0,1050.257266,5.000000,10
48,20,289.051059,31832,0.442763534,0.447000000,4.236466,1,289.051059,5.000000,10
49,20,294.481130,31832,0.450734449,0.453500000,2.765551,1,294.481130,5.000000,10
50,20,297.354334,31832,0.459011168,0.468500000,9.488832,0,1050.257266,5.000000,10
51,20,303.954713,31832,0.467305560,0.472000000,4.694440,1,303.954713,5.000000,10
52,20,309.512625,31832,0.476443348,0.482000000,5.556652,0,1050.257266,5.000000,10
53,20,304.252174,31832,0.485851531,0.493000000,7.148469,0,1050.257266,5.000000,10
54,20,300.529640,31832,0.494551261,0.500500000,5.948739,0,1050.257266,5.000000,10
55,20,296.647966,31832,0.501865608,0.507500000,5.634392,0,1050.257266,5.000000,10
