frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi
1,40,121.758,62888,0.023597393,0.026500000,2.902607,1,121.757707,5.000000,14
2,40,119.027943,62888,0.043224266,0.046000000,2.775734,1,119.027943,5.000000,14
3,40,119.353596,62888,0.063771030,0.066500000,2.728970,1,119.353596,5.000000,14
4,40,118.045421,62888,0.082147163,0.085000000,2.852837,1,118.045421,5.000000,14
5,40,121.243911,62888,0.100542439,0.104500000,3.957561,1,121.243911,5.000000,14
6,40,114.568645,62888,0.120626324,0.123500000,2.873676,1,114.568645,5.000000,14
7,40,113.442923,62888,0.143218999,0.146000000,2.781001,1,113.442923,5.000000,14
8,40,110.952099,62888,0.162133727,0.165500000,3.366273,1,110.952099,5.000000,14
9,40,110.679144,62888,0.182702678,0.186000000,3.297322,1,110.679144,5.000000,14
10,40,106.875606,62888,0.202802548,0.206500000,3.697452,1,106.875606,5.000000,14
11,40,109.912415,62888,0.222326642,0.225500000,3.173358,1,109.912415,5.000000,14
12,40,109.496058,62888,0.243039636,0.247000000,3.960364,1,109.496058,5.000000,14
13,40,112.937272,62888,0.263094649,0.266500000,3.405351,1,112.937272,5.000000,14
14,40,106.815978,62888,0.281742759,0.284500000,2.757241,1,106.815978,5.000000,14
15,40,111.729670,62888,0.302279352,0.308000000,5.720648,0,1050.257266,5.000000,14
16,40,110.110412,62888,0.321269179,0.324500000,3.230821,1,110.110412,5.000000,14
17,40,116.159169,62888,0.342611143,0.347000000,4.388857,1,116.159169,5.000000,14
18,40,114.564365,62888,0.361483514,0.364500000,3.016486,1,114.564365,5.000000,14
19,40,119.539684,62888,0.381402619,0.387500000,6.097381,0,1050.257266,5.000000,14
20,40,118.286014,62888,0.399971344,0.405500000,5.528656,0,1050.257266,5.000000,14
21,40,123.205480,62888,0.418495514,0.421500000,3.004486,1,123.205480,5.000000,14
22,40,119.125414,62888,0.438740716,0.441500000,2.759284,1,119.125414,5.000000,14
23,40,121.786816,62888,0.458540907,0.462500000,3.959093,1,121.786816,5.000000,14
24,40,124.343484,62888,0.477337563,0.480000000,2.662437,1,124.343484,5.000000,14
25,40,127.080263,62888,0.497466273,0.502000000,4.533727,1,127.080263,5.000000,14
26,40,120.707082,62888,0.515852258,0.521500000,5.647742,0,1050.257266,5.000000,14
27,40,121.913408,62888,0.535045169,0.538000000,2.954831,1,121.913408,5.000000,14
28,40,122.012282,62888,0.556887860,0.559500000,2.612140,1,122.012282,5.000000,14
29,40,129.689561,62888,0.576126663,0.579000000,2.873337,1,129.689561,5.000000,14
30,40,127.514454,62888,0.597288770,0.612000000,14.711230,0,1050.257266,5.000000,14
31,40,128.218609,62888,0.616131811,0.621000000,4.868189,1,128.218609,5.000000,14
32,40,124.964186,62888,0.635945791,0.638500000,2.554209,1,124.964186,5.000000,14
33,40,128.766990,62888,0.655440590,0.658000000,2.559410,1,128.766990,5.000000,14
34,40,121.682866,62888,0.674203760,0.678500000,4.296240,1,121.682866,5.000000,14
35,40,127.889025,62888,0.693619781,0.697000000,3.380219,1,127.889025,5.000000,14
36,40,124.734029,62888,0.712373683,0.715500000,3.126317,1,124.734029,5.000000,14
37,40,130.536748,62888,0.733103685,0.738500000,5.396315,0,1050.257266,5.000000,14
38,40,127.153862,62888,0.753046645,0.756000000,2.953355,1,127.153862,5.000000,14
39,40,128.271627,62888,0.775387809,0.778000000,2.612191,1,128.271627,5.000000,14
40,40,123.966362,62888,0.795896523,0.798500000,2.603477,1,123.966362,5.000000,14
41,40,128.103179,62888,0.814685496,0.818000000,3.314504,1,128.103179,5.000000,15
42,40,123.070597,62888,0.833831164,0.836500000,2.668836,1,123.070597,5.000000,15
43,40,125.905691,62888,0.853687715,0.857000000,3.312285,1,125.905691,5.000000,15
44,40,127.177618,62888,0.872864580,0.876000000,3.135420,1,127.177618,5.000000,15
45,40,126.227343,62888,0.893657779,0.897500000,3.842221,1,126.227343,5.000000,15
46,40,119.771496,62888,0.914509912,0.917500000,2.990088,1,119.771496,5.000000,15
47,40,124.293817,62888,0.934349947,0.937500000,3.150053,1,124.293817,5.000000,15
48,40,121.621768,62888,0.953582395,0.957000000,3.417605,1,121.621768,5.000000,15
49,40,125.799893,62888,0.972525671,0.976000000,3.474329,1,125.799893,5.000000,15
